spam,text
FALSE,Haha... Hope Ì_ can hear the receipt sound... Gd luck!
TRUE,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
FALSE,How much are we getting?
TRUE,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
TRUE,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
FALSE,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
TRUE,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
FALSE,My uncles in Atlanta. Wish you guys a great semester.
FALSE,Im good! I have been thinking about you...
FALSE,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
FALSE,"Ok omw now, you at castor?"
FALSE,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
FALSE,May i call You later Pls
FALSE,Prabha..i'm soryda..realy..frm heart i'm sory
FALSE,O was not into fps then.
TRUE,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
FALSE,Wat r u doing now?
FALSE,But i'm really really broke oh. No amount is too small even  &lt;#&gt;
FALSE,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
FALSE,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
FALSE,I love to cuddle! I want to hold you in my strong arms right now...
FALSE,Gud ni8 dear..slp well..take care..swt dreams..Muah..
TRUE,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50"
FALSE,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
FALSE,"Now, whats your house # again ? And do you have any beer there ?"
FALSE,I fetch yun or u fetch?
FALSE,Sent me ur email id soon
FALSE,I will treasure every moment we spend together...
TRUE,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
FALSE,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
FALSE,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
FALSE,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
FALSE,No. I dont want to hear anything
FALSE,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
FALSE,"How long has it been since you screamed, princess?"
TRUE,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
FALSE,I accidentally brought em home in the box
FALSE,"Alright, I'll head out in a few minutes, text me where to meet you"
FALSE,"Sorry, I'll call later"
FALSE,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
TRUE,You have 1 new message. Please call 08715205273
FALSE,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
FALSE,Ok i shall talk to him
FALSE,Ok u can take me shopping when u get paid =D
FALSE,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
FALSE,Ok
TRUE,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
TRUE,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
FALSE,Yup n her fren lor. I'm meeting my fren at 730.
TRUE,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
FALSE,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
TRUE,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
FALSE,No need to say anything to me. I know i am an outsider
FALSE,Everybody had fun this evening. Miss you.
TRUE,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
FALSE,Just sleeping..and surfing
FALSE,Ok.
FALSE,I always chat with you. In fact i need money can you raise me?
FALSE,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
FALSE,Nobody names their penis a girls name this story doesn't add up at all
TRUE,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
FALSE,Did u got that persons story
FALSE,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
FALSE,He says hi and to get your ass back to south tampa (preferably at a kegger)
FALSE,I surely dont forgot to come:)i will always be in touch in with you:-)
TRUE,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )"
FALSE,"Sorry, I'll call later"
FALSE,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
FALSE,Yeah jay's sort of a fucking retard
TRUE,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
FALSE,Bbq this sat at mine from 6ish. Ur welcome 2 come
FALSE,Sian... Aft meeting supervisor got work 2 do liao... U working now?
TRUE,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
FALSE,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
FALSE,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
FALSE,We are both fine. Thanks
FALSE,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630
FALSE,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
FALSE,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
FALSE,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
FALSE,I am in a marriage function
FALSE,"Aight, can you text me the address?"
TRUE,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
FALSE,I called but no one pick up e phone. I ask both of them already they said ok.
FALSE,Were somewhere on Fredericksburg
FALSE,"Sorry, I'll call later ok bye"
TRUE,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
FALSE,what is your account number?
FALSE,Hey i will be late ah... Meet you at 945+
FALSE,Please tell me not all of my car keys are in your purse
FALSE,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
FALSE,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
FALSE,I will reach ur home in  &lt;#&gt;  minutes
FALSE,There bold 2  &lt;#&gt; . Is that yours
FALSE,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
FALSE,"sorry, no, have got few things to do. may be in pub later."
FALSE,Wat time r Ì_ going to xin's hostel?
FALSE,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
FALSE,Jesus armand really is trying to tell everybody he can find
FALSE,ÌÏ no home work to do meh...
FALSE,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
FALSE,How much r Ì_ willing to pay?
FALSE,I notice you like looking in the shit mirror youre turning into a right freak
FALSE,S:)s.nervous  &lt;#&gt; :)
FALSE,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
FALSE,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?"
FALSE,Do Ì_ noe if ben is going?
FALSE,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
FALSE,How much you got for cleaning
FALSE,One small prestige problem now.
FALSE,Oh ok wait 4 me there... My lect havent finish
FALSE,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
FALSE,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
TRUE,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
FALSE,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
FALSE,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
FALSE,Watching ajith film ah?
FALSE,I reach home safe n sound liao...
TRUE,"Latest News! Police station toilet stolen, cops have nothing to go on!"
FALSE,Your brother is a genius
FALSE,Or remind me in a few hrs.
FALSE,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
FALSE,Ok. I.ll do you right later.
FALSE,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
FALSE,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
FALSE,Asking do u knw them or nt? May be ur frnds or classmates?
FALSE,I need to come home and give you some good lovin...
FALSE,Oh my God. I'm almost home
FALSE,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
FALSE,Have your lunch and come quickly and open the door:)
FALSE,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
FALSE,Bring home some Wendy =D
FALSE,Ok then i will come to ur home after half an hour
FALSE,Then u go back urself lor...
FALSE,I went to project centre
FALSE,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
FALSE,No problem baby. Is this is a good time to talk? I called and left a message.
FALSE,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
FALSE,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
FALSE,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
FALSE,"No, I was trying it all weekend ;V"
FALSE,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
FALSE,Hi kindly give us back our documents which we submitted for loan from STAPATI
FALSE,"Uncle G, just checking up on you. Do have a rewarding month"
FALSE,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
FALSE,How? Izzit still raining?
TRUE,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
FALSE,"There'll be a minor shindig at my place later tonight, you interested?"
FALSE,Then u drive lor.
FALSE,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
FALSE,Not getting anywhere with this damn job hunting over here!
TRUE,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
FALSE,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
FALSE,Where are you lover ? I need you ...
FALSE,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
FALSE,And I don't plan on staying the night but I prolly won't be back til late
FALSE,I'm fine. Hope you are also
FALSE,Pls confirm the time to collect the cheque.
FALSE,Mom wants to know where you at
TRUE,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
FALSE,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
TRUE,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub
TRUE,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2
TRUE,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
FALSE,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
TRUE,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
FALSE,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
FALSE,Like a personal sized or what
FALSE,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
FALSE,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
TRUE,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
FALSE,"Jay wants to work out first, how's 4 sound?"
TRUE,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
FALSE,I come n pick Ì_ up... Come out immediately aft ur lesson...
FALSE,I want to go to perumbavoor
FALSE,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
FALSE,Correct. So how was work today
FALSE,I can ask around but there's not a lot in terms of mids up here
FALSE,Eat at old airport road... But now 630 oredi... Got a lot of pple...
FALSE,K k :-):-) then watch some films.
FALSE,"Evening * v good if somewhat event laden. Will fill you in, don't you worry ‰Û_ Head * ok but throat * wrecked. See you at six then!"
FALSE,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
FALSE,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
FALSE,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different
TRUE,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
TRUE,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
TRUE,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
FALSE,Dad says hurry the hell up
FALSE,Msg me when rajini comes.
FALSE,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
FALSE,"Sir, i am waiting for your call, once free please call me."
FALSE,"not that I know of, most people up here are still out of town"
FALSE,Is ur lecture over?
FALSE,Sen told that he is going to join his uncle finance in cbe
FALSE,I love u 2 my little pocy bell I am sorry but I love u
TRUE,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
TRUE,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk"
FALSE,No da if you run that it activate the full version da.
FALSE,Networking job is there.
FALSE,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
FALSE,K..k:)where are you?how did you performed?
FALSE,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
FALSE,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here
FALSE,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
FALSE,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
FALSE,Sorry da. I gone mad so many pending works what to do.
TRUE,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
FALSE,So i could kiss and feel you next to me...
FALSE,Dude ive been seeing a lotta corvettes lately
TRUE,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705
FALSE,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
TRUE,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
FALSE,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
TRUE,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
TRUE,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
FALSE,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
FALSE,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
FALSE,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
FALSE,Still in the area of the restaurant. Ill try to come back soon
FALSE,In that case I guess I'll see you at campus lodge
FALSE,I'm e person who's doing e sms survey...
FALSE,Yes:)from last week itself i'm taking live call.
FALSE,That day you asked about anand number. Why:-)
FALSE,"\Im on gloucesterroad what are uup to later?\"""""
FALSE,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
FALSE,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\"""""
FALSE,"sure, but make sure he knows we ain't smokin yet"
TRUE,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
FALSE,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
FALSE,R Ì_ comin back for dinner?
FALSE,"Nah I don't think he goes to usf, he lives around here though"
TRUE,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
FALSE,Oh ic. I thought you meant mary jane.
FALSE,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
FALSE,"I'll see, but prolly yeah"
FALSE,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
FALSE,"They can try! They can get lost, in fact. Tee hee"
FALSE,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
TRUE,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
TRUE,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
FALSE,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah"
FALSE,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
TRUE,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
FALSE,Aight do you still want to get money
FALSE,"Tee hee. Off to lecture, cheery bye bye."
FALSE,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
FALSE,I am not having her number sir
FALSE,I'll meet you in the lobby
FALSE,Hey anyway i have to :-)
FALSE,Got smaller capacity one? Quite ex...
FALSE,I want  &lt;#&gt;  rs da:)do you have it?
FALSE,Are you available for soiree on June 3rd?
FALSE,"As usual..iam fine, happy &amp; doing well..:)"
FALSE,Ok i've sent u da latest version of da project.
TRUE,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
FALSE,Tell them the drug dealer's getting impatient
FALSE,Then we wait 4 u lor... No need 2 feel bad lar...
TRUE,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
FALSE,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
FALSE,"Y cant u try new invention to fly..i'm not joking.,"
FALSE,Nah im goin 2 the wrks with j wot bout u?
TRUE,100 dating service cal;l 09064012103 box334sk38ch
FALSE,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
FALSE,Mm have some kanji dont eat anything heavy ok
FALSE,I will reach ur home in  &lt;#&gt;  minutes
FALSE,"Ok da, i already planned. I wil pick you."
FALSE,They did't play one day last year know even though they have very good team.. Like india.
TRUE,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net costå£3.75max
FALSE,U still going to the mall?
FALSE,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
FALSE,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?"
FALSE,Haha okay... Today weekend leh...
TRUE,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
FALSE,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
FALSE,Now press conference da:)
FALSE,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
TRUE,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
FALSE,In e msg jus now. U said thanks for gift.
FALSE,"Sorry battery died, yeah I'm here"
TRUE,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
TRUE,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
FALSE,"Could you not read me, my Love ? I answered you"
FALSE,Only once then after ill obey all yours.
FALSE,Well i know Z will take care of me. So no worries.
